state,latitude,longitude,name,2018 Total Sales ,2019 Total Sales ,2020 Total Sales,2021 Total Sales,DIF 1819,DIF1920,DIF2021
AK,63.588753,-154.493062,Alaska,,,,,0,0,0
AL,32.318231,-86.902298,Alabama,20708,20482,21661,21632,-226,1179,-29
AR,35.20105,-91.831833,Arkansas,,,,,0,0,0
AZ,34.048928,-111.093731,Arizona,,,,,0,0,0
CA,36.778261,-119.417932,California,104455,102298,98907,115238,-2157,-3391,16331
CO,39.550051,-105.782067,Colorado,60943,61577,62668,59650,634,1091,-3018
CT,41.603221,-73.087749,Connecticut,,,,,0,0,0
DC,38.905985,-77.033418,District of Columbia,,,,,0,0,0
DE,38.910832,-75.52767,Delaware,,,,,0,0,0
FL,27.664827,-81.515754,Florida,,,,,0,0,0
GA,32.157435,-82.907123,Georgia,131816,129807,129700,128442,-2009,-107,-1258
HI,19.898682,-155.665857,Hawaii,,,,,0,0,0
IA,41.878003,-93.097702,Iowa,,,,,0,0,0
ID,44.068202,-114.742041,Idaho,18096,16564,17872,15743,-1532,1308,-2129
IL,40.633125,-89.398528,Illinois,140213,129054,144648,149346,-11159,15594,4698
IN,40.551217,-85.602364,Indiana,,,,,0,0,0
KS,39.011902,-98.484246,Kansas,4989,4379,4100,1287,-610,-279,-2813
KY,37.839333,-84.270018,Kentucky,,,,,0,0,0
LA,31.244823,-92.145024,Louisiana,,,,,0,0,0
MA,42.407211,-71.382437,Massachusetts,,,,,0,0,0
MD,39.045755,-76.641271,Maryland,43262,44728,52894,67340,1466,8166,14446
ME,45.253783,-69.445469,Maine,,,,,0,0,0
MI,44.314844,-85.602364,Michigan,71451,69986,71612,79542,-1465,1626,7930
MN,46.729553,-94.6859,Minnesota,,,,,0,0,0
MO,37.964253,-91.831833,Missouri,46736,45536,48798,48605,-1200,3262,193
MS,32.354668,-89.398528,Mississippi,,,,,0,0,0
MT,46.879682,-110.362566,Montana,,,,,0,0,0
NC,35.759573,-79.0193,North Carolina,61586,62768,61099,57844,1182,-1669,-3255
ND,47.551493,-101.002012,North Dakota,,,,,0,0,0
NE,41.492537,-99.901813,Nebraska,,,,,0,0,0
NH,43.193852,-71.572395,New Hampshire,,,,,0,0,0
NJ,40.058324,-74.405661,New Jersey,,,,,0,0,0
NM,34.97273,-105.032363,New Mexico,13089,13499,14303,13365,410,804,-938
NV,38.80261,-116.419389,Nevada,,,,,0,0,0
NY,43.299428,-74.217933,New York,189070,185888,188403,225657,-3182,2515,37254
OH,40.417287,-82.907123,Ohio,27156,25942,26566,28962,-1214,624,2396
OK,35.007752,-97.092877,Oklahoma,24100,26722,28089,28200,2622,1367,111
OR,43.804133,-120.554201,Oregon,43311,43848,47357,50356,537,3509,2999
PA,41.203322,-77.194525,Pennsylvania,86888,88817,92148,113564,1929,3331,21416
PR,18.220833,-66.590149,Puerto Rico,,,,,0,0,0
RI,41.580095,-71.477429,Rhode Island,,,,,0,0,0
SC,33.836081,-81.163725,South Carolina,17012,17886,18803,19297,874,917,494
SD,43.969515,-99.901813,South Dakota,,,,,0,0,0
TN,35.517491,-86.580447,Tennessee,51799,54756,57058,50497,2957,2302,-6561
TX,31.968599,-99.901813,Texas,101724,102954,111576,107516,1230,8622,-4060
UT,39.32098,-111.093731,Utah,18230,17784,18506,17240,-446,722,-1266
VA,37.431573,-78.656894,Virginia,28798,30987,35478,32815,2189,4491,-2663
VT,44.558803,-72.577841,Vermont,,,,,0,0,0
WA,47.751074,-120.740139,Washington,71138,69401,70268,70980,-1737,867,712
WI,43.78444,-88.787868,Wisconsin,,,,,0,0,0
WV,38.597626,-80.454903,West Virginia,,,,,0,0,0
WY,43.075968,-107.290284,Wyoming,,,,,0,0,0
